 A	EY
 FORBID	F ER B IH D
 FORBIDDEN	F AO R B IH D AH N
 FORBIDDING	F ER B IH D IH NG
 FORCE	F AO R S
 FORCED	F AO R S T
 FORCEPS	F AO R S EH P S
 FORCES	F AO R S IH Z
 FORDHAM	F AO R D AH M
 FORE	F AO R
 FOREARM	F AO R AA R M
 FOREBODINGS	F OW R B OW D IH NG Z
 FORECASTLE	F OW R K AE S AH L
 FOREFINGER	F AO R F IH NG G ER
 FOREFINGERS	F AO R F IH NG G ER Z
 FOREGO	F AO R G OW
 FOREHEAD	F AO R HH EH D
 FOREIGN	F AO R AH N
 FOREIGNER	F AO R AH N ER
 FOREMAN	F AO R M AH N
 FOREMOST	F AO R M OW S T
 FORERUNNERS	F AO R AH N ER Z
 FORESAW	F AO R S AO
 FORESEE	F AO R S IY
 FORESEEN	F AO R S IY N
 FORESIGHT	F AO R S AY T
 FORESTALLING	F AO R S T AA L IH NG
 FORETOLD	F AO R T OW L D
 FOREVER	F ER EH V ER
 FORGERY	F AO R JH ER IY
 FORGET	F ER G EH T
 FORGETFULNESS	F AO R G EH T F AH L N AH S
 FORGIVE	F ER G IH V
 FORGIVEN	F ER G IH V AH N
 FORGIVENESS	F ER G IH V N AH S
 FORGOT	F ER G AA T
 FORGOTTEN	F ER G AA T AH N
 FORM	F AO R M
 FORMALITIES	F AO R M AE L AH T IY Z
 FORMED	F AO R M D
 FORMER	F AO R M ER
 FORMERLY	F AO R M ER L IY
 FORMIDABLE	F AO R M AH D AH B AH L
 FORMING	F AO R M IH NG
 FORMS	F AO R M Z
 FORMULA	F AO R M Y AH L AH
 FORTH	F AO R TH
 FORTHWITH	F AO R TH W IH TH
 FORTNIGHT	F AO R T N AY T
 FORTS	F AO R T S
 FORTUNATE	F AO R CH AH N AH T
 FORTUNATELY	F AO R CH AH N AH T L IY
 FORTUNE	F AO R CH AH N
 FORTUNES	F AO R CH AH N Z
 FORTY	F AO R T IY
 FORWARD	F AO R W ER D
 FORWARDED	F AO R W ER D IH D
 FOUGHT	F AO T
 FOUL	F AW L
 FOUND	F AW N D
 FOUNDED	F AW N D IH D
 FOUNDER	F AW N D ER
 FOUNDLING	F AW N D L IH NG
 FOUNTAIN	F AW N T AH N
 FOUR	F AO R
 FOURTEEN	F AO R T IY N
 FOURTH	F AO R TH
 FOWL	F AW L
 FOWLER	F AW L ER
 FOWLS	F AW L Z
 FRAGMENT	F R AE G M AH N T
 FRAGMENTS	F R AE G M AH N T S
 FRAME	F R EY M
 FRAMED	F R EY M D
 FRAMES	F R EY M Z
 FRAMEWORK	F R EY M W ER K
 FRANCE	F R AE N S
 FRANCHISE	F R AE N CH AY Z
 FRANCIS	F R AE N S AH S
 FRANCISCO	F R AE N S IH S K OW
 FRANCO	F R AE NG K OW
 FRANK	F R AE NG K
 FRANKLY	F R AE NG K L IY
 FRANTIC	F R AE N T IH K
 FRANTICALLY	F R AE N T AH K AH L IY
 FREAK	F R IY K
 FRECKLED	F R EH K AH L D
 FREE	F R IY
 FREEBODY	F R IY B AA D IY
 FREED	F R IY D
 FREEDOM	F R IY D AH M
 FREELY	F R IY L IY
 FRENCH	F R EH N CH
 FRENZY	F R EH N Z IY
 FREQUENT	F R IY K W AH N T
 FREQUENTLY	F R IY K W AH N T L IY
 FRESH	F R EH SH
 FRESHLY	F R EH SH L IY
 FRESNO	F R EH Z N OW
 FRIDAY	F R AY D IY
 FRIEND	F R EH N D
 FRIENDLY	F R EH N D L IY
 FRIENDS	F R EH N D Z
 FRIENDSHIP	F R EH N D SH IH P
 FRIGHT	F R AY T
 FRIGHTEN	F R AY T AH N
 FRIGHTENED	F R AY T AH N D
 FRIGHTFUL	F R AY T F AH L
 FRILL	F R IH L
 FRINGE	F R IH N JH
 FRINGED	F R IH N JH D
 FRISCO	F R IY S K OW
 FRITZ	F R IH T S
 FRO	F R OW
 FROCK	F R AA K
 FROGGED	F R AA G D
 FROGS	F R AA G Z
 FROM	F R AH M
 FRONT	F R AH N T
 FROST	F R AO S T
 FROSTED	F R AO S T AH D
 FROSTY	F R AO S T IY
 FROTH	F R AO TH
 FROTHING	F R AO TH IH NG
 FROWNING	F R AW N IH NG
 FRUITLESS	F R UW T L AH S
 FRUITS	F R UW T S
 FT	EH F T
 FUGITIVE	F Y UW JH AH T IH V
 FUGITIVES	F Y UW JH IH T IH V Z
 FULFIL	F UH L F AH L
 FULFILLED	F UH L F IH L D
 FULFILMENT	F UH L F IH L M AH N T
 FULL	F UH L
 FULLY	F UH L IY
 FUMBLED	F AH M B AH L D
 FUMES	F Y UW M Z
 FUNDS	F AH N D Z
 FUNGOID	F AH N G OW AH D
 FUNNEL	F AH N AH L
 FUNNIEST	F AH N IY AH S T
 FUNNY	F AH N IY
 FUR	F ER
 FURIOUS	F Y UH R IY AH S
 FURIOUSLY	F Y UH R IY AH S L IY
 FURNACE	F ER N AH S
 FURNISHED	F ER N IH SH T
 FURNISHES	F ER N IH SH IH Z
 FURNITURE	F ER N IH CH ER
 FURTHER	F ER DH ER
 FURTIVE	F ER T IH V
 FURTIVELY	F ER T IH V L IY
 FURY	F Y UH R IY
 FURZE	F AH R Z
 FUSILLADE	F Y UW S IH L EY D
 FUSS	F AH S
 FUTURE	F Y UW CH ER
 G	JH IY
 GABLE	G EY B AH L
 GABLES	G EY B AH L Z
 GAILY	G EY L IY
 GAIN	G EY N
 GAINED	G EY N D
 GAINER	G EY N ER
 GAINING	G EY N IH NG
 GAITERS	G EY T ER Z
 GALE	G EY L
 GALES	G EY L Z
 GALLOP	G AE L AH P
 GALLOPED	G AE L AH P T
 GALLOPING	G AE L AH P IH NG
 GALLOWS	G AE L OW Z
 GALVANIZED	G AE L V AH N AY Z D
 GAMBLER	G AE M B L ER
 GAME	G EY M
 GANG	G AE NG
 GAP	G AE P
 GAPED	G EY P T
 GAPING	G EY P IH NG
 GAPS	G AE P S
 GARDEN	G AA R D AH N
 GARDENER	G AA R D AH N ER
 GARDENING	G AA R D AH N IH NG
 GARMENT	G AA R M AH N T
 GARMENTS	G AA R M AH N T S
 GAS	G AE S
 GASEOUS	G AE S IY AH S
 GASES	G AE S AH Z
 GASFITTERS	G AE S F IH T ER Z
 GASH	G AE SH
 GASLIGHT	G AE S L AY T
 GASPED	G AE S P T
 GASWORKS	G AE S W ER K S
 GATE	G EY T
 GATES	G EY T S
 GATHER	G AE DH ER
 GATHERED	G AE DH ER D
 GATHERING	G AE DH ER IH NG
 GAUNT	G AO N T
 GAUNTER	G AO N T ER
 GAVE	G EY V
 GAY	G EY
 GAZE	G EY Z
 GAZED	G EY Z D
 GAZETTE	G AH Z EH T
 GAZING	G EY Z IH NG
 GEAR	G IH R
 GEESE	G IY S
 GEM	JH EH M
 GEMS	JH EH M Z
 GENERAL	JH EH N ER AH L
 GENERALLY	JH EH N ER AH L IY
 GENERATE	JH EH N ER EY T
 GENERATING	JH EH N ER EY T IH NG
 GENERATION	JH EH N ER EY SH AH N
 GENERATIONS	JH EH N ER EY SH AH N Z
 GENERATORS	JH EH N ER EY T ER Z
 GENEROUS	JH EH N ER AH S
 GENIAL	JH IY N Y AH L
 GENIALITY	JH IY N IY AE L AH T IY
 GENII	JH IY N IY
 GENTLE	JH EH N T AH L
 GENTLEMAN	JH EH N T AH L M AH N
 GENTLEMANLY	JH EH N T AH L M AH N L IY
 GENTLEMEN	JH EH N T AH L M IH N
 GENTLY	JH EH N T L IY
 GEOLOGY	JH IY AA L AH JH IY
 GEORGE	JH AO R JH
 GEORGES	JH AO R JH AH Z
 GEORGIA	JH AO R JH AH
 GERMAN	JH ER M AH N
 GERMANS	JH ER M AH N Z
 GERMANY	JH ER M AH N IY
 GESTICULATING	JH EH S T IH K Y AH L EY T IH NG
 GESTURE	JH EH S CH ER
 GET	G EH T
 GETS	G EH T S
 GETTING	G EH T IH NG
 GHASTLY	G AE S T L IY
 GHOST	G OW S T
 GHOSTLY	G OW S T L IY
 GHOSTS	G OW S T S
 GIANT	JH AY AH N T
 GIANTS	JH AY AH N T S
 GIFT	G IH F T
 GIGANTIC	JH AY G AE N T IH K
 GIN	JH IH N
 GINGER	JH IH N JH ER
 GINGERLY	JH IH N JH ER L IY
 GIRL	G ER L
 GIRLS	G ER L Z
 GIRT	G ER T
 GIVE	G IH V
 GIVEN	G IH V AH N
 GIVES	G IH V Z
 GIVING	G IH V IH NG
 GLAD	G L AE D
 GLADE	G L EY D
 GLADSTONE	G L AE D S T OW N
 GLAMOUR	G L AE M ER
 GLANCE	G L AE N S
 GLANCED	G L AE N S T
 GLANCES	G L AE N S IH Z
 GLANCING	G L AE N S IH NG
 GLANDS	G L AE N D Z
 GLARE	G L EH R
 GLARED	G L EH R D
 GLARING	G L EH R IH NG
 GLARINGLY	G L EH R IH NG L IY
 GLASS	G L AE S
 GLASSES	G L AE S AH Z
 GLEAM	G L IY M
 GLEAMED	G L IY M D
 GLEAMING	G L IY M IH NG
 GLIDED	G L AY D IH D
 GLIMMER	G L IH M ER
 GLIMMERED	G L IH M ER D
 GLIMPSE	G L IH M P S
 GLIMPSES	G L IH M P S IH Z
 GLINT	G L IH N T
 GLINTS	G L IH N T S
 GLISTEN	G L IH S AH N
 GLISTENED	G L IH S AH N D
 GLITTER	G L IH T ER
 GLITTERING	G L IH T ER IH NG
 GLOAMING	G L OW M IH NG
 GLOBE	G L OW B
 GLOOM	G L UW M
 GLOOMY	G L UW M IY
 GLOSS	G L AO S
 GLOSSY	G L AO S IY
 GLOVE	G L AH V
 GLOVES	G L AH V Z
 GLOW	G L OW
 GLOWED	G L OW D
 GLOWING	G L OW IH NG
 GO	G OW
 GOADING	G OW D IH NG
 GOD	G AA D
 GOES	G OW Z
 GOETH	G OW IH TH
 GOIN	G OY N
 GOING	G OW IH NG
 GOLD	G OW L D
 GOLDEN	G OW L D AH N
 GOLF	G AA L F
 GOMORRAH	G AH M AO R AH
 GONE	G AO N
 GONG	G AO NG
 GOOD	G UH D
 GOODGE	G UW JH
 GOODNESS	G UH D N AH S
 GOODS	G UH D Z
 GOODWILL	G UH D W IH L
 GOODWINS	G UH D W IH N Z
 GOOSE	G UW S
 GORDON	G AO R D AH N
 GORGON	G AO R G AH N
 GOSSIP	G AA S AH P
 GOSSIPING	G AA S AH P IH NG
 GOSSIPS	G AA S AH P S
 GOT	G AA T
 GOVERNESS	G AH V ER N AH S
 GOVERNESSES	G AH V ER N AH S IH Z
 GOVERNMENT	G AH V ER N M AH N T
 GOWN	G AW N
 GRACE	G R EY S
 GRACEFUL	G R EY S F AH L
 GRACIOUS	G R EY SH AH S
 GRADIENT	G R EY D IY AH N T
 GRADUAL	G R AE JH UW AH L
 GRADUALLY	G R AE JH UW AH L IY
 GRAIN	G R EY N
 GRAND	G R AE N D
 GRANDFATHER	G R AE N D F AA DH ER
 GRANTED	G R AE N T AH D
 GRANTING	G R AE N T IH NG
 GRAS	G R AE S
 GRASP	G R AE S P
 GRASPED	G R AE S P T
 GRASS	G R AE S
 GRATE	G R EY T
 GRATEFUL	G R EY T F AH L
 GRATING	G R EY T IH NG
 GRATITUDE	G R AE T AH T UW D
 GRAVE	G R EY V
 GRAVEL	G R AE V AH L
 GRAVELLY	G R AE V AH L IY
 GRAVELY	G R EY V L IY
 GRAVESEND	G R EY V S EH N D
 GRAVEST	G R AE V AH S T
 GRAVITATIONAL	G R AE V IH T EY SH AH N AH L
 GRAVITY	G R AE V AH T IY
 GRAY	G R EY
 GRAYISH	G R EY IH SH
 GREASY	G R IY S IY
 GREAT	G R EY T
 GREATER	G R EY T ER
 GREATEST	G R EY T AH S T
 GREATLY	G R EY T L IY
 GREEN	G R IY N
 GREENGROCERS	G R IY N G R OW S ER Z
 GREENHOUSE	G R IY N HH AW S
 GREENISH	G R IY N IH SH
 GREENROOM	G R IY N R UW M
 GREENWICH	G R EH N IH CH
 GREET	G R IY T
 GREETING	G R IY T IH NG
 GREGG	G R EH G
 GRENADIERS	G R AH N EY D IY ER Z
 GREW	G R UW
 GREY	G R EY
 GREYISH	G R EY IH SH
 GRICE	G R AY S
 GRIDE	G R AY D
 GRIEF	G R IY F
 GRIEVED	G R IY V D
 GRIEVOUS	G R IY V AH S
 GRIM	G R IH M
 GRIME	G R AY M
 GRIMESBY	G R AY M Z B AY
 GRIMLY	G R IH M L IY
 GRIN	G R IH N
 GRIND	G R AY N D
 GRINNED	G R IH N D
 GRINNING	G R IH N IH NG
 GRIP	G R IH P
 GRIPPED	G R IH P T
 GRIPPING	G R IH P IH NG
 GRITTY	G R IH T IY
 GRIZZLED	G R IH Z AH L D
 GROAN	G R OW N
 GROANED	G R OW N D
 GROCER	G R OW S ER
 GROOM	G R UW M
 GROOMED	G R UW M D
 GROPING	G R OW P IH NG
 GROSS	G R OW S
 GROSVENOR	G R OW V N ER
 GROTESQUE	G R OW T EH S K
 GROUND	G R AW N D
 GROUNDS	G R AW N D Z
 GROUP	G R UW P
 GROUPS	G R UW P S
 GROVE	G R OW V
 GROW	G R OW
 GROWING	G R OW IH NG
 GROWN	G R OW N
 GROWS	G R OW Z
 GRUFF	G R AH F
 GUARD	G AA R D
 GUARDS	G AA R D Z
 GUESS	G EH S
 GUESSED	G EH S T
 GUIDANCE	G AY D AH N S
 GUIDE	G AY D
 GUILDFORD	G IH L D F OW R D
 GUILT	G IH L T
 GUILTY	G IH L T IY
 GUINEA	G IH N IY
 GUINEAS	G IH N IY Z
 GULF	G AH L F
 GULLET	G AH L AH T
 GULP	G AH L P
 GUM	G AH M
 GUMMED	G AH M D
 GUN	G AH N
 GUNLIKE	G AH N L AY K
 GUNNERS	G AH N ER Z
 GUNPOWDER	G AH N P AW D ER
 GUNS	G AH N Z
 GUNWISE	G AH N W AY Z
 GUSH	G AH SH
 GUSHES	G AH SH IH Z
 GUST	G AH S T
 GUSTAVE	G UW S T AA V IY
 GUSTILY	G AH S T IY L IY
 GUSTS	G AH S T S
 GUTTED	G AH T IH D
 GUTTERING	G AH T ER IH NG
 GYPSIES	JH IH P S IY Z
 H	EY CH
 HA	HH AA
 HABIT	HH AE B AH T
 HABITS	HH AE B AH T S
 HACKED	HH AE K T
 HAD	HH AE D
 HAFIZ	HH AE F AH Z
 HAGGARD	HH AE G ER D
 HAGGERSTON	HH AE JH AH R S T AH N
 HAGUE	HH EY G
 HAIL	HH EY L
 HAILED	HH EY L D
 HAIR	HH EH R
 HAIRED	HH EH R D
 HALF	HH AE F
 HALFWAY	HH AE F W EY
 HALIFAX	HH AE L IH F AE K S
 HALL	HH AO L
 HALLIFORD	HH AE L AH F AH R D
 HALTED	HH AO L T AH D
 HAM	HH AE M
 HAMMERED	HH AE M ER D
 HAMMERING	HH AE M ER IH NG
 HAMPSHIRE	HH AE M P SH ER
 HAMPSTEAD	HH AE M P S T EH D
 HAMPTON	HH AE M P T AH N
 HAND	HH AE N D
 HANDBOOK	HH AE N D B UH K
 HANDCUFFS	HH AE N D K AH F S
 HANDED	HH AE N D AH D
 HANDEDNESS	HH AE N D AH D N AH S
 HANDFUL	HH AE N D F UH L
 HANDING	HH AE N D IH NG
 HANDKERCHIEF	HH AE NG K ER CH IH F
 HANDKERCHIEFS	HH AE NG K ER CH AH F S
 HANDLE	HH AE N D AH L
 HANDLED	HH AE N D AH L D
 HANDLING	HH AE N D L IH NG
 HANDS	HH AE N D Z
 HANDSOME	HH AE N S AH M
 HANDWRITING	HH AE N D R AY T IH NG
 HANDY	HH AE N D IY
 HANG	HH AE NG
 HANGED	HH AE NG D
 HANGING	HH AE NG IH NG
 HANGS	HH AE NG Z
 HANOVER	HH AE N OW V ER
 HANSOM	HH AE N S AH M
 HANWELL	HH AE N W AH L
 HAP	HH AE P
 HAPHAZARD	HH AE P HH AE Z ER D
 HAPPEN	HH AE P AH N
 HAPPENED	HH AE P AH N D
 HAPPENING	HH AE P AH N IH NG
 HAPPENS	HH AE P AH N Z
 HAPPILY	HH AE P AH L IY
 HAPPINESS	HH AE P IY N AH S
 HAPPY	HH AE P IY
 HARASSED	HH ER AE S T
 HARD	HH AA R D
 HARDENED	HH AA R D AH N D
 HARDEST	HH AA R D AH S T
 HARDIHOOD	HH AA R D IY HH UH D
 HARDLY	HH AA R D L IY
 HARDY	HH AA R D IY
 HARLEY	HH AA R L IY
 HARM	HH AA R M
 HARMONIUM	HH AA R M OW N IY AH M
 HARRIS	HH EH R IH S
 HARROW	HH AE R OW
 HARSHLY	HH AA R SH L IY
 HARVEST	HH AA R V AH S T
 HAS	HH AE Z
 HASP	HH AE S P
 HASTE	HH EY S T
 HASTENED	HH EY S AH N D
 HASTENING	HH EY S AH N IH NG
 HASTILY	HH EY S T AH L IY
 HASTY	HH EY S T IY
 HAT	HH AE T
 HATE	HH EY T
 HATED	HH EY T AH D
 HATHERLEY	HH AH TH AH R L IY
 HATLESS	HH AE T L AH S
 HATS	HH AE T S
 HATTY	HH AE T IY
 HAULING	HH AO L IH NG
 HAVE	HH AE V
 HAVERSTOCK	HH EY V ER S T AA K
 HAVING	HH AE V IH NG
 HAWKERS	HH AO K ER Z
 HAY	HH EY
 HAYLING	HH EY L IH NG
 HAZARDED	HH AE Z ER D IH D
 HAZE	HH EY Z
 HAZINESS	HH EY Z IY N AH S
 HAZY	HH EY Z IY
 HE	HH IY
 HEAD	HH EH D
 HEADACHE	HH EH D EY K
 HEADED	HH EH D AH D
 HEADING	HH EH D IH NG
 HEADINGS	HH EH D IH NG Z
 HEADLIKE	HH EH D L AY K
 HEADLINES	HH EH D L AY N Z
 HEADLONG	HH EH D L AO NG
 HEADQUARTERS	HH EH D K W AO R T ER Z
 HEADS	HH EH D Z
 HEADSTRONG	HH EH D S T R AO NG
 HEALTH	HH EH L TH
 HEALTHY	HH EH L TH IY
 HEAP	HH IY P
 HEAPED	HH IY P T
 HEAPS	HH IY P S
 HEAR	HH IY R
 HEARD	HH ER D
 HEARING	HH IY R IH NG
 HEARS	HH IY R Z
 HEARSAY	HH IY R S EY
 HEART	HH AA R T
 HEARTED	HH AA R T AH D
 HEARTILY	HH AA R T AH L IY
 HEARTLESS	HH AA R T L AH S
 HEARTS	HH AA R T S
 HEARTY	HH AA R T IY
 HEAT	HH IY T
 HEATED	HH IY T AH D
 HEATH	HH IY TH
 HEATHER	HH EH DH ER
 HEATHERY	HH EH DH ER IY
 HEAVE	HH IY V
 HEAVED	HH IY V D
 HEAVEN	HH EH V AH N
 HEAVENS	HH EH V AH N Z
 HEAVENWARD	HH EH V AH N W ER D
 HEAVIER	HH EH V IY ER
 HEAVILY	HH EH V AH L IY
 HEAVINESS	HH EH V IY N AH S
 HEAVING	HH IY V IH NG
 HEAVY	HH EH V IY
 HEDGE	HH EH JH
 HEDGES	HH EH JH IH Z
 HEED	HH IY D
 HEEDED	HH IY D AH D
 HEEDING	HH IY D IH NG
 HEEL	HH IY L
 HEELED	HH IY L D
 HEELING	HH IY L IH NG
 HEELLESS	HH IY L AH S
 HEELS	HH IY L Z
 HEH	HH EH
 HEIGHT	HH AY T
 HEINOUS	HH EY N AH S
 HEIRESS	EH R AH S
 HEIRS	EH R Z
 HELD	HH EH L D
 HELEN	HH EH L AH N
 HELIOGRAPH	HH IY L IY AA G R AH F
 HELIOGRAPHS	HH IY L IY AA G R AH F S
 HELLISH	HH EH L IH SH
 HELLO	HH AH L OW
 HELP	HH EH L P
 HELPED	HH EH L P T
 HELPER	HH EH L P ER
 HELPING	HH EH L P IH NG
 HELPLESS	HH EH L P L AH S
 HELPLESSLY	HH EH L P L AH S L IY
 HELPS	HH EH L P S
 HENCE	HH EH N S
 HENDERSON	HH EH N D ER S AH N
 HENRY	HH EH N R IY
 HER	HH ER
 HERALD	HH EH R AH L D
 HERD	HH ER D
 HERE	HH IY R
 HEREDITARY	HH ER EH D AH T EH R IY
 HEREFORD	HH EH R AH F ER D
 HEREFORDSHIRE	HH AH R EH F AH R D SH AY R
 HEROIC	HH IH R OW IH K
 HEROISM	HH EH R OW IH Z AH M
 HERS	HH ER Z
 HERSELF	HH ER S EH L F
 HESITATED	HH EH Z IH T EY T IH D
 HESITATING	HH EH Z AH T EY T IH NG
 HESITATINGLY	HH EH Z AH T EY T IH NG L IY
 HESITATION	HH EH Z AH T EY SH AH N
 HID	HH IH D
 HIDDEN	HH IH D AH N
 HIDE	HH AY D
 HIDEOUS	HH IH D IY AH S
 HIDING	HH AY D IH NG
 HIGH	HH AY
 HIGHBURY	HH AY B EH R IY
 HIGHER	HH AY ER
 HIGHEST	HH AY AH S T
 HIGHLIGHTS	HH AY L AY T S
 HIGHLY	HH AY L IY
 HIGHNESS	HH AY N AH S
 HIGHWAY	HH AY W EY
 HILL	HH IH L
 HILLS	HH IH L Z
 HILLSIDE	HH IH L S AY D
 HILLY	HH IH L IY
 HILTON	HH IH L T AH N
 HIM	HH IH M
 HIMSELF	HH IH M S EH L F
 HINDER	HH IH N D ER
 HINDERS	HH IH N D ER Z
 HINGES	HH IH N JH IH Z
 HINT	HH IH N T
 HINTED	HH IH N T AH D
 HINTING	HH IH N T IH NG
 HIRED	HH AY ER D
 HIS	HH IH Z
 HISS	HH IH S
 HISSING	HH IH S IH NG
 HIST	HH IH S T
 HISTORY	HH IH S T ER IY
 HIT	HH IH T
 HITHERTO	HH IH DH ER T UW
 HIVE	HH AY V
 HOARSE	HH AO R S
 HOBBIES	HH AA B IY Z
 HOLBORN	HH OW L B AH R N
 HOLD	HH OW L D
 HOLDER	HH OW L D ER
 HOLDING	HH OW L D IH NG
 HOLE	HH OW L
 HOLES	HH OW L Z
 HOLIDAY	HH AA L AH D EY
 HOLLAND	HH AA L AH N D
 HOLLOW	HH AA L OW
 HOLLOWED	HH AA L OW D
 HOLMES	HH OW M Z
 HOME	HH OW M
 HOMELY	HH OW M L IY
 HOMESTEADS	HH OW M S T EH D Z
 HOMEWARD	HH OW M W ER D
 HONEST	AA N AH S T
 HONEY	HH AH N IY
 HONOR	AA N ER
 HONORIA	AA N ER IY AH
 HOOD	HH UH D
 HOOFS	HH UH F S
 HOOK	HH UH K
 HOOTING	HH UW T IH NG
 HOPE	HH OW P
 HOPED	HH OW P T
 HOPEFUL	HH OW P F AH L
 HOPELESS	HH OW P L AH S
 HOPES	HH OW P S
 HOPING	HH OW P IH NG
 HORACE	HH AO R AH S
 HORDE	HH AO R D
 HORIZON	HH ER AY Z AH N
 HORNER	HH AO R N ER
 HORNS	HH AO R N Z
 HORRIBLE	HH AO R AH B AH L
 HORRIBLY	HH AO R AH B L IY
 HORRID	HH AO R AH D
 HORRIFY	HH AO R AH F AY
 HORROR	HH AO R ER
 HORRORS	HH AO R ER Z
 HORSE	HH AO R S
 HORSEBACK	HH AO R S B AE K
 HORSEFLESH	HH AO R S F L EH SH
 HORSELESS	HH AO R S L AH S
 HORSELL	HH AO R S AH L
 HORSEMEN	HH AO R S M AH N
 HORSES	HH AO R S AH Z
 HORSEY	HH AO R S IY
 HORSHAM	HH AO R SH AH M
 HOSMER	HH AA Z M AH R
 HOSPITAL	HH AA S P IH T AH L
 HOSPITALITY	HH AA S P AH T AE L AH T IY
 HOST	HH OW S T
 HOSTS	HH OW S T S
 HOT	HH AA T
 HOTEL	HH OW T EH L
 HOTELS	HH OW T EH L Z
 HOTLY	HH AA T L IY
 HOTTER	HH AA T ER
 HOUND	HH AW N D
 HOUNSLOW	HH AW N S L OW
 HOUR	AW ER
 HOURS	AW ER Z
 HOUSE	HH AW S
 HOUSEHOLD	HH AW S HH OW L D
 HOUSES	HH AW S AH Z
 HOVER	HH AH V ER
 HOW	HH AW
 HOWEVER	HH AW EH V ER
 HOWL	HH AW L
 HOWLING	HH AW L IH NG
 HOWLS	HH AW L Z
 HOXTON	HH AA K S T AH N
 HUBBUB	HH AH B AH B
 HUDDLED	HH AH D AH L D
 HUDSON	HH AH D S AH N
 HUE	HH Y UW
 HUFFED	HH AH F T
 HUGE	HH Y UW JH
 HUGGED	HH AH G D
 HUGH	HH Y UW
 HUM	HH AH M
 HUMAN	HH Y UW M AH N
 HUMANITY	HH Y UW M AE N IH T IY
 HUMBLE	HH AH M B AH L
 HUMBLER	HH AH M B AH L ER
 HUMILIATION	HH Y UW M IH L IY EY SH AH N
 HUMMING	HH AH M IH NG
 HUMMOCK	HH AH M AH K
 HUMOR	HH Y UW M ER
 HUMORED	HH Y UW M ER D
 HUMORS	HH Y UW M ER Z
 HUMOUR	HH Y UW M ER
 HUMPED	HH AH M P T
 HUNDRED	HH AH N D R AH D
 HUNDREDS	HH AH N D R AH D Z
 HUNG	HH AH NG
 HUNGRY	HH AH NG G R IY
 HUNT	HH AH N T
 HUNTED	HH AH N T AH D
 HUNTER	HH AH N T ER
 HUNTING	HH AH N T IH NG
 HURLED	HH ER L D
 HURLING	HH ER L IH NG
 HURRIED	HH ER IY D
 HURRIEDLY	HH ER IY D L IY
 HURRY	HH ER IY
 HURRYING	HH ER IY IH NG
 HURT	HH ER T
 HURTLED	HH ER T AH L D
 HURTS	HH ER T S
 HUSBAND	HH AH Z B AH N D
 HUSH	HH AH SH
 HUSHED	HH AH SH T
 HUSHING	HH AH SH IH NG
 HUSSARS	HH AH S AH R Z
 HUT	HH AH T
 HYDE	HH AY D
 HYDRAULIC	HH AY D R AO L IH K
 HYDRAULICS	HH AY D R AO L IH K S
 HYDROCHLORIC	HH IH D R AA K L AH R AH K
 HYDROGEN	HH AY D R AH JH AH N
 HYPOTHESIS	HH AY P AA TH AH S AH S
 HYSTERICAL	HH IH S T EH R IH K AH L
 I	AY
 ICE	AY S
 IDEA	AY D IY AH
 IDEAL	AY D IY L
 IDEAS	AY D IY AH Z
 IDENTICAL	AY D EH N T IH K AH L
 IDENTIFIED	AY D EH N T AH F AY D
 IDENTITY	AY D EH N T AH T IY
 IDIOT	IH D IY AH T
 IDIOTS	IH D IY AH T S
 IDLE	AY D AH L
 IF	IH F
 IGNITING	IH G N AY T IH NG
 IGNORANCE	IH G N ER AH N S
 IGNORANT	IH G N ER AH N T
 II	IY
 III	IY IY
 ILL	IH L
 ILLEGAL	IH L IY G AH L
 ILLEGALLY	IH L IY G AH L IY
 ILLNESS	IH L N AH S
 ILLUMINATED	IH L UW M AH N EY T AH D
 ILLUMINATION	IH L UW M AH N EY SH AH N
 ILLUSTRATE	IH L AH S T R EY T
 ILLUSTRATED	IH L AH S T R EY T AH D
 ILLUSTRATION	IH L AH S T R EY SH AH N
 ILLUSTRIOUS	IH L AH S T R IY AH S
 IMAGINATION	IH M AE JH AH N EY SH AH N
 IMAGINE	IH M AE JH AH N
 IMAGININGS	IH M AE JH AH N IH NG Z
 IMBECILE	IH M B AH S AH L
 IMBECILITY	IH M B AH S AH L AH T IY
 IMBEDDED	IH M B EH D IH D
 IMMEDIATE	IH M IY D IY AH T
 IMMEDIATELY	IH M IY D IY AH T L IY
 IMMEMORIAL	IH M AH M AO R IY AH L
 IMMENSE	IH M EH N S
 IMMENSELY	IH M EH N S L IY
 IMMENSITY	IH M EH N S AH T IY
 IMMIGRANTS	IH M AH G R AH N T S
 IMMINENT	IH M AH N AH N T
 IMPACT	IH M P AE K T
 IMPASSABLE	IH M P AE S AH B AH L
 IMPATIENCE	IH M P EY SH AH N S
 IMPATIENT	IH M P EY SH AH N T
 IMPATIENTLY	IH M P EY SH AH N T L IY
 IMPEDIMENT	IH M P EH D AH M AH N T
 IMPENDING	IH M P EH N D IH NG
 IMPENETRABLE	IH M P EH N AH T R AH B AH L
 IMPENETRABLY	IH M P EH N AH T R AH B L IY
 IMPERSONAL	IH M P ER S AH N AH L
 IMPERTINENT	IH M P ER T AH N AH N T
 IMPERTURBABLY	IH M P ER T ER B AH B L IY
 IMPETUOUS	IH M P EH CH W AH S
 IMPINGED	IH M P IH N JH D
 IMPLACABLE	IH M P L AE K AH B AH L
 IMPLICATE	IH M P L IH K EY T
